Quantity,Card Name,Set Name,Foil/Variant,Card Number
1,Abrade,Innistrad: Crimson Vow,Normal,139
1,Adanto Vanguard,Mystery Booster,Normal,10
3,Adanto Vanguard,Ixalan,Normal,1
5,Cacophony Scamp,Phyrexia: All Will Be One,Normal,124
1,Cathar Commando,Innistrad: Midnight Hunt,Normal,10
4,Clarion Spirit,Kaldheim,Normal,6
1,Clever Lumimancer,Strixhaven: School of Mages,Normal,10
3,Colossus Hammer,Core Set 2020,Normal,223
3,Deafening Clarion,Guilds of Ravnica,Normal,165
3,Declaration in Stone,New Capenna Commander,Normal,196
2,Destroy Evil,Dominaria United,Normal,17
1,Dreadhorde Arcanist,War of the Spark,Normal,125
1,Dreadhorde Arcanist,War of the Spark Promos,Foil,125s
2,Dreadhorde Arcanist,Time Spiral Remastered,Normal,341
4,Electrostatic Infantry,Dominaria United,Normal,122
1,Embercleave,Throne of Eldraine,Normal,120
1,"Feather, the Redeemed",War of the Spark,Normal,197
1,"Feather, the Redeemed",War of the Spark Promos,Normal,197p
2,Fight as One,Ikoria: Lair of Behemoths,Normal,12
2,Fighter Class,Adventures in the Forgotten Realms,Normal,222
4,Fireblade Charger,Zendikar Rising,Normal,139
4,Flowstone Infusion,Dominaria United,Foil,124
4,Flowstone Infusion,Dominaria United,Normal,124
1,Forge Devil,Mystery Booster,Normal,935
3,Forge Devil,Dark Ascension,Normal,91
1,Giant Killer // Chop Down,The List,Normal,ELD-14
2,Goblin Chainwhirler,Dominaria,Normal,129
1,"Goddric, Cloaked Reveler",Wilds of Eldraine,Normal,132
2,Gods Willing,Strixhaven Mystical Archive,Normal,7
4,Invigorated Rampage,Aether Revolt,Normal,86
2,"Jor Kadeen, First Goldwarden",Phyrexia: All Will Be One,Normal,203
2,Justice Strike,Guilds of Ravnica,Normal,182
3,"Kemba, Kha Enduring",Phyrexia: All Will Be One Promos,Normal,19p
2,Knockout Blow,Streets of New Capenna,Normal,20
4,Kor Blademaster,Zendikar Rising,Normal,21
4,Kumano Faces Kakkazan,Kamigawa: Neon Dynasty,Normal,152
1,Lantern Flare,Innistrad: Crimson Vow,Normal,23
2,Legion's Landing,Ixalan,Normal,22
3,Light of Hope,Ikoria: Lair of Behemoths,Normal,20
1,Lizard Blades,Kamigawa: Neon Dynasty Promos,Normal,153p
2,Lunarch Veteran,Innistrad: Midnight Hunt,Normal,27
1,Magmatic Chasm,Dragons of Tarkir,Normal,148
3,Maul of the Skyclaves,Zendikar Rising Promos,Normal,27p
1,Mutavault,Commander Legends: Battle for Baldur's Gate,Normal,903
2,Open the Armory,Commander Legends,Normal,34
4,Ornithopter,Dominaria Remastered,Normal,233
1,Pithing Needle,Return to Ravnica,Normal,231
1,Play with Fire,Innistrad: Midnight Hunt,Normal,390
2,Portable Hole,Adventures in the Forgotten Realms,Normal,33
1,Portable Hole,Adventures in the Forgotten Realms,Normal,398
2,Rabbit Battery,Kamigawa: Neon Dynasty,Normal,157
4,Raze the Effigy,Jumpstart 2022,Normal,586
4,Reckless Bushwhacker,Oath of the Gatewatch,Normal,116
4,Regal Bunnicorn,Wilds of Eldraine,Normal,326
4,Regal Leosaur,Ikoria: Lair of Behemoths,Normal,305
2,"Reidane, God of the Worthy",Kaldheim,Normal,21
1,Rending Volley,Dragons of Tarkir,Normal,150
4,Resolute Strike,Zendikar Rising,Normal,35
4,Seasoned Hallowblade,Core Set 2021,Normal,34
2,Sejiri Shelter,Zendikar Rising,Normal,37
2,"Skrelv, Defector Mite",Phyrexia: All Will Be One,Normal,33
1,Soul-Guide Lantern,The Brothers' War Retro Artifacts,Normal,117
1,Soul-Guide Lantern,Phyrexia: All Will Be One Commander,Normal,142
3,Spikefield Hazard,Zendikar Rising,Normal,166
1,Steel Seraph,The Brothers' War Promos,Normal,38p
1,Sungold Sentinel,Innistrad: Midnight Hunt,Normal,37
1,Surge of Salvation,March of the Machine,Normal,41
3,Swiftblade Vindicator,Double Masters,Normal,221
2,Tectonic Hazard,The Lost Caverns of Ixalan,Normal,169
3,Thud,Core Set 2019,Normal,163
3,Tormod's Crypt,Dominaria Remastered,Normal,235
2,Yotian Frontliner,The Brothers' War,Normal,42
